"Unidade";"Grupo Base";"Nome Grupo";"Fonte Recurso";"Recolhimento";"Data";"Situacao";"Guia";"Data Guia";"Valor";"Finalidade";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00550824/2010";"08/03/2010";"Recolhido";"00050/2010";"05/03/2010";"10,00";"Cópia de Chave";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00550832/2010";"08/03/2010";"Recolhido";"00051/2010";"05/03/2010";"10,00";"Cópia de Chave";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00550840/2010";"08/03/2010";"Recolhido";"00052/2010";"05/03/2010";"10,00";"Cópia de Chave";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00550859/2010";"08/03/2010";"Recolhido";"00053/2010";"05/03/2010";"50,00";"Incrição de Doutorado";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Vendas";"00550930/2010";"08/03/2010";"Recolhido";"00056/2010";"05/03/2010";"240,00";"Assinatura da RBEFE 
2 - 23/2009
2 - 24/2010";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Vendas";"00550948/2010";"08/03/2010";"Recolhido";"00057/2010";"05/03/2010";"60,00";"Assinatura da RBEFE - Volume 23 - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Vendas";"00550956/2010";"08/03/2010";"Recolhido";"00058/2010";"05/03/2010";"60,00";"Assinatura da RBEFE - Volume 24 - 2010";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00550980/2010";"08/03/2010";"Recolhido";"00059/2010";"05/03/2010";"300,00";"Curso de Especialização em Aprendizagem Motora - 2.010 - (Inscrição) - 4a. Edição";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00551022/2010";"08/03/2010";"Recolhido";"00060/2010";"05/03/2010";"300,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Taxas";"00551014/2010";"08/03/2010";"Recolhido";"00061/2010";"05/03/2010";"300,00";"Curso de Especialização em Aprendizagem Motora - 3a. Edição - 2009.";
"EEFE    - Escola de Educação Física e Esporte";"000";"Básica";"Aluguéis-Usp";"00578249/2010";"10/03/2010";"Recolhido";"00062/2010";"05/03/2010";"1.052,82";"Aluguel de Permissâo de uso de espaço, destinado a exploração de serviços reprograficos - 7a Parcela";
